gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b1635,791243,633953,620020,197375,144342,356211
b3987,90264,178843,186355,1285641,652895,344802
b1829,460498,428348,454848,543697,333281,517452
b0628,554036,642634,558090,368921,230316,381975
b1814,390796,465475,494486,386057,497515,501228
b1219,583133,539068,589912,214983,412556,377374
b4035,14059,14275,23803,183277,2441597,29815
b2181,741416,621664,801502,211711,168877,156903
b3982,346757,389431,432294,554620,548337,429918
b2283,219984,242217,188013,972406,398530,679095
b2898,540174,601526,476967,329175,324037,423046
b0754,612559,534279,632642,204484,371228,339254
b1332,984596,669456,615279,150101,77683,178372
b3981,395262,379047,460897,543499,496041,393588
b2276,276396,239112,174400,693529,628287,656595
b1777,705783,823703,801283,132875,47805,154625
b0954,162019,259772,286128,867772,647212,442715
b3858,363015,391274,377534,392162,497749,631503
b4147,305000,367910,388908,650145,529672,397354
b0407,395449,491988,483430,459657,466567,334559
b3870,264927,302078,261710,770939,507201,522331
b2113,486291,477687,474300,358709,398495,431745
b2016,593811,543109,526618,293825,341995,323655
b3496,423922,515387,409635,298123,486499,479502
b0926,552293,631048,478026,191751,402708,345854
b0329,806054,404033,316566,293056,315237,460032
b0966,721768,497266,459938,332968,294611,286311
b2296,316374,345275,372986,328024,830560,392864
b2910,680030,547276,584808,177141,310263,270382
b2431,285385,336123,382631,351312,732813,478962
b4606,616995,558963,581414,159316,378059,267623
b1765,729408,640985,636900,144086,104985,290894
b2727,300067,380902,400880,216464,966015,282347
b1247,367478,297335,260653,543857,579727,496949
b2610,474622,490509,530940,291710,402562,348703
b2516,458791,490829,507526,288610,374167,403891
b0053,326133,400525,321661,475539,546138,448128
b4144,557736,482698,496340,255487,303711,421799
b2705,14012,14619,25029,1792854,570076,83619
b1245,431111,406586,321981,392728,467297,477497
b2175,343863,459000,503491,421903,449933,308015
Novel00163,450521,518620,623628,238488,317546,334569
b3509,615108,396915,369960,55466,296955,742651
b2897,602800,609207,570566,150090,235087,308139
b4179,632227,520783,499594,226884,273769,320911
b1854,240665,246943,226116,522730,770697,458991
b3100,522977,319168,212296,517572,325234,567801
b0735,377752,430059,364676,259274,438092,590650
b4515,411330,405984,364963,237576,402046,637473
b3029,510385,379030,389133,317854,394582,446169
b3847,456725,412550,337825,343639,419794,453121
b2146,292100,260128,296280,210087,655073,703577
b3225,19324,26072,25417,1757793,479656,106842
b2477,365173,448467,417140,334617,448837,395696
b0927,486414,522475,428208,229593,421984,320861
b3688,639494,523210,404621,224124,310267,306721
b1613,188876,170541,170364,795850,501903,576855
b2515,468989,409407,409136,308731,437082,347204
b3001,453665,474555,368159,199778,470578,412021
b2042,290061,334628,375354,460045,515456,389963
b3336,389525,250303,168745,525658,475546,555616
b2980,816899,791755,626283,47418,21934,49337
b2617,431948,427067,475855,313902,387508,316558
b4208,918101,692711,423102,115092,61575,141640
b4057,621686,487566,466171,158938,225434,390433
b0429,447121,506624,327803,593814,53201,421374
b1276,588866,379055,286079,361424,191480,540973
b0415,363423,374897,347564,372596,475996,408050
b0180,288782,352662,361103,419521,472915,443980
b3610,357465,326062,318774,479990,474115,374435
b0660,309725,346815,311590,511393,427147,421085
b2007,403851,394831,425756,465321,330978,291450
b0166,342739,323995,299872,496442,393031,454482
b3938,593712,551580,538439,176118,191033,258200
b1614,331541,240254,183988,473148,546306,525471
b0896,372156,361773,450803,98721,651318,360394
b3729,276179,363051,368925,515048,346391,413759
b2133,408967,369287,289551,356154,408245,445298
b2153,519894,468476,441556,276792,213194,353597
b3995,787921,633491,489795,95317,83709,182198
b1654,330280,322367,340737,522601,382613,372464
b0416,268624,292258,287659,472695,537125,411879
b0688,354610,390968,329601,379302,426241,388075
b2342,752066,709768,587847,74222,66721,71595
b3805,460922,445746,407020,269299,318650,358845
b0651,457096,484972,471176,176887,402194,257329
b1215,300817,320668,290473,465979,448110,421691
b0119,486603,579751,639648,138756,200308,198374
b1207,248434,425590,419974,392085,415786,328984
b2154,687235,590818,489435,101613,113045,227642
