gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b1824,1222977.2081967785,1132067.7894261023,1133888.4607889047,787474.4853711873,1778017.377742671,972836.0764389697
b2925,901894.0491116514,1112379.5820477915,932422.9010712587,1528300.2117182116,1411546.2559394215,1349454.4550695724
b2905,1157042.9467015425,1551504.6169825182,1311091.956723196,712200.1142041195,1054039.6260718575,1025721.5497745974
b1189,1936341.1384156486,1694891.2208647886,1060015.063075366,1112550.1943442633,120999.39266522208,570298.8316805131
b2288,1187749.214919543,1201068.8597147218,1055727.5148375144,1372443.71135612,994274.7725401372,1163212.1153137484
b0178,638463.666837147,914340.6756194556,895403.1065957609,1639862.3163417156,1734053.120018055,1526122.9016376273
b3314,120620.53632928089,339329.61256337474,579470.7788624236,5422867.338461304,1377895.767775259,446375.8768463153
b0741,389682.7349881165,812024.8466191444,941521.6392113505,2675750.840088442,1547706.4294750688,1190170.2387880816
b2899,1435707.1615155777,1542911.528103909,1516328.8505556434,432318.00069455476,608573.7885256268,796887.6867466897
b1641,1007200.9577532974,1095028.9300701632,1166032.0743754474,1179374.1762241372,1147070.1344294425,1185333.4502602331
b3736,508884.1693697412,1038329.4288477136,999939.251841409,2611307.3230826748,959473.32577217,1099139.7789699489
b3315,105191.12744635763,264205.32325347065,533161.915500026,5364419.356341308,1462841.2346175017,383256.90004790825
b4200,184574.00061863734,465355.45711368974,682077.6202453054,3323567.4709404176,1991527.8718058122,1005862.190256725
b3751,827603.9839213131,1056778.1070453953,847073.9519891959,1365310.147210359,1175567.8694596484,1529308.5435445898
b3709,1266699.4732202385,1007699.5509853908,905356.9404324878,285915.49569870724,1496345.3444566675,1482885.5541573742
b0643,1371372.7145092925,1505400.3796457879,1358367.3289023116,449019.1021166735,700207.8004439287,813778.8000270161
b3230,237216.11151154357,448128.8499391636,829428.8990960894,3210569.7789476607,1904060.920268465,802702.2255535725
b1256,680476.5946193561,1206365.1133819914,1006751.2356918022,966387.8239629089,794471.9003307198,1877746.0806187263
b3114,80040.79199145218,348042.1519931196,174595.50048168734,21324.997830540015,5502015.35880992,1055897.1291562954
b2343,926161.9441051697,935839.0182726659,1048340.8249760277,836730.7930896843,1355916.5900888583,1263955.3894547408
b3317,86738.10829458588,299914.6060902324,503371.9040752317,4750481.282324276,1547124.4575861704,392316.4668958382
b2696,1281211.237899964,941053.4942549273,1043993.8564074655,1072275.4432395836,992955.006674441,839994.5968252927
b3942,583564.604941491,799016.6816004883,604163.6400434319,1146041.142589509,816370.806032445,2540676.676804294
b2287,1020894.4310122685,1178499.1375028654,937815.296083264,1246940.7482977428,780927.1833870729,935733.528702984
b0431,1187450.3742668391,1492776.294091552,1218852.1061640147,1473167.1313417635,101462.60815961311,435701.21924462233
b3316,81558.46441617819,263428.8946710899,512811.3806742432,4759743.431014812,1381131.437039904,339143.6070899087
b0114,336280.2232721001,386764.34526967607,297867.6187545857,1698144.5533745342,904223.7713784529,3005754.9440205134
b1612,1332023.5365240898,1688155.1286311396,1142114.4628216815,820375.5377156129,190198.56533705277,510020.8451180424
b1004,795801.705874941,892483.0624624453,676659.228838614,978651.6553346093,1039607.1954153273,1780193.7507180967
b3894,1349203.7448330629,1336378.7686394455,1542396.7353270063,519969.74514343654,258367.18738209215,542643.981597367
b3318,76464.09182348964,214594.75281571652,399132.86048313754,4441324.932196789,1680312.2067480942,402083.36501938204
b3065,432240.1473103304,758278.5305609219,843968.3112668891,1689718.9605964457,1718580.6949718304,959832.6340078193
b1308,992063.3487747158,1131395.19093817,1179137.9710678488,386898.626490243,1245994.7313088707,856011.8855612326
b1725,1253506.675400352,1341274.4035352143,1295901.7062425795,337338.2352653497,621364.1849073955,699139.1705102454
b2926,814653.7007672335,1101070.3714064395,955631.1824271642,1290086.6741409285,800746.1003094093,1003828.21516433
b0438,813712.5874028286,881222.550891941,789467.7982504067,1383247.1588494622,1195661.8359765352,984039.906914023
b4188,1362093.008168004,1537460.9075705567,1378054.0272209346,179060.81256692667,506359.2207448612,380992.8036859358
b1376,1055710.9316630063,1132406.8452212485,1179691.3228975933,567321.9419785334,528714.9684770197,1120287.6055041193
b2779,354272.46455883904,384312.85242021823,361192.05088162224,2485754.767006087,1781958.9682843161,1176681.1026174542
b3609,637383.3031162467,764478.9330152478,715237.8785526031,1302745.9445788867,1659665.7801013812,1008658.6408920978
b3319,75553.48836865403,202390.5818912416,380254.8357277819,3992389.355163418,1665179.7571663782,446405.56991335755
b3313,144619.31827429114,353524.0134398458,460174.25209114497,4269692.631726034,1086601.7205614478,379716.00180311856
b4189,1508213.570454176,1387195.789643668,1177766.6612481636,210343.56642237614,462405.58725351107,371313.9242968387
b3737,584960.2377279401,1171016.0198994228,1275857.5574970243,1125565.7514656815,575435.6244989528,873357.9390473136
