gene_id,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b1589,6.619887333313574,7.353716940248614,0.7338296069350401,0.4680984420197155,0.6062989344255363,False
b0003,7.859424683600259,6.5188259959801345,-1.3405986876201244,0.001903148553871699,0.045921132848259064,True
sRNA00010,7.813850338586417,6.541470831119551,-1.2723795074668658,0.010936233589962712,0.07547938581894587,False
b1446,7.854649149797488,6.5045235093776155,-1.350125640419873,0.0030094282225022655,0.05187865790465084,False
b1830,7.149044311025256,7.461598260022995,0.3125539489977385,0.3539839576385808,0.49798065120593,False
b2377,8.006187668760887,5.992362361054897,-2.01382530770599,0.003807711372355918,0.05621384420767553,False
b2479,7.530223437893358,7.117859581428359,-0.4123638564649994,0.0025434765946694983,0.048774353841941995,False
b0034,7.078309581990105,7.258592854559542,0.18028327256943744,0.8090273912392711,0.8696802232052332,False
b0711,7.458869818887167,7.145350499508705,-0.3135193193784618,0.32301744256322645,0.4674950926229476,False
b1564,7.4180994140473215,7.20735787478317,-0.21074153926415118,0.4314945424235004,0.572434970853287,False
b0240,8.073914058075482,5.446114706005233,-2.62779935207025,0.003373555511244143,0.0529802090495681,False
b0025,7.334408809759904,7.32249136560629,-0.011917444153613843,0.9265429179203906,0.9540223278844162,False
b0171,7.461690416965084,7.147500546587888,-0.3141898703771959,0.2633179422225071,0.4063392552511586,False
b3860,6.999063206439783,7.566177523247628,0.567114316807845,0.06092670642749051,0.1639322892365572,False
b1323,7.526931640766211,7.081199465139563,-0.4457321756266479,0.0056559374014343595,0.06161127926611021,False
b0091,6.601656787951409,7.78644419684473,1.184787408893321,0.0019693260424432577,0.045936565720963767,True
b3644,7.307064535113882,7.32873373055246,0.02166919543857837,0.8700151584958229,0.914754784064682,False
b4222,7.624429909057846,6.912951771077864,-0.7114781379799817,0.0022630606142010775,0.04722573938735389,False
b3845,7.85420465061284,5.773821529742212,-2.0803831208706285,0.03776523205019839,0.1281060674660807,False
b3091,7.238319083951677,7.176188873595568,-0.06213021035610922,0.9118823583309452,0.9431961337149763,False
b1638,7.568748751257684,6.978282970731172,-0.5904657805265119,0.015400124034752573,0.08317178901079368,False
b2009,7.572918231349057,6.970818186320319,-0.6021000450287382,0.0140252801374311,0.08278106132194761,False
